ItemNumber,StoreNumber,Year,SalesDollars,MarginDollars,SalesUnits
734,1,2015,2446.41786357171,198.518966470906,24
734,4,2015,10918.8058725139,-559.66438632032,109
734,2,2015,901.311844473787,110.30392855223,9
735,1,2015,2123.88322876251,415.273922824533,43
735,4,2015,27002.7639718028,5250.39436838596,541
735,3,2015,3475.44528342957,679.539146440145,70
735,5,2015,1722.66621698465,469.762737229592,33
942,2,2015,424.85134828752,65.0518444940145,44
942,1,2015,2036.59718051949,266.680983860171,214
942,4,2015,4232.45243784656,475.685139256597,452
942,10,2015,1695.94074109498,198.613386381119,175
959,2,2015,3605.18297915807,441.689392688243,81
959,4,2015,15190.0392298322,1889.01398626685,341
959,3,2015,1324.43730660747,171.376873819911,30
959,1,2015,1264.32752541369,160.8296330136,28
959,5,2015,5657.49345152594,568.335228777197,142
1463,1,2015,2878.35307293842,296.380624513871,268
1463,4,2015,9825.85626622696,854.529871271656,932
1463,3,2015,4134.08980682517,400.993464029833,386
1463,2,2015,5059.11326629311,504.515895686387,483
1463,5,2015,12709.5286748485,3146.55140246243,1127
1662,2,2015,2793.01186655531,144.961719741854,165
1662,4,2015,9854.06291306955,669.986630440417,581
1662,1,2015,2071.30809980751,93.346238992382,122
1664,2,2015,9463.76792710106,390.500538355817,872
1664,4,2015,44708.681543025,1674.40605656717,4132
1664,3,2015,15900.5376163275,765.279056411521,1473
1664,1,2015,17051.1884910413,729.370122465172,1569
72,3,2015,1187.10055990311,202.355446367789,106
72,1,2015,1645.02709955674,275.570349988844,147
72,5,2015,8271.64426570543,1362.55082981222,944
1244,1,2015,1708.21514038311,323.901344162673,143
1244,3,2015,4407.43668624995,857.500151122678,368
1244,2,2015,2142.97101443408,415.226554976601,179
1244,10,2015,1848.11495682339,350.86943891893,160
1247,4,2015,2997.42633780588,546.703911554673,383
1247,10,2015,333.920331525564,74.5254140805215,44
656,2,2015,13532.2611803329,456.594475504348,98
656,1,2015,48410.3853493239,-1953.71846654269,346
656,4,2015,107009.61688632,-3982.6711280638,770
656,5,2015,24724.0919385862,1089.25839963046,167
441,2,2015,2640.41261916216,255.58174973262,162
441,1,2015,4754.81635382598,663.086713924911,291
441,5,2015,1313.24480610235,431.631619643902,75
1567,1,2015,1763.27606058953,279.912402715993,43
1567,4,2015,12529.7789199009,980.719712877846,301
1567,3,2015,2085.16670802789,209.397466427092,50
1567,2,2015,2522.6530885312,427.857981091943,62
1567,10,2015,2091.77401845266,295.354321141999,44
96,1,2015,2487.65881480001,760.838162775019,312
96,4,2015,5060.83915244695,1588.68604109193,629
96,3,2015,2238.17810733838,700.902045857718,278
96,2,2015,1477.01079450579,439.289421726328,187
96,6,2015,1700.12665900541,619.165508500774,224
96,10,2015,2032.81053477897,880.89986800135,213
1082,2,2015,2347.73323886489,513.800783345296,286
1082,4,2015,16111.8298726986,2679.24137239878,2067
1082,5,2015,869.563267091603,220.342123477557,106
941,2,2015,1365.83281480477,206.90465448323,140
941,4,2015,5159.27906195285,693.797816024797,538
941,5,2015,1686.53852548079,233.718330055226,173
367,1,2015,3313.18622547389,77.493799217627,256
367,4,2015,4324.24639768544,95.6830528237204,335
367,2,2015,11119.0344258541,296.964827971705,858
1189,2,2015,7214.79659142748,393.690762914073,688
1189,3,2015,7214.79659142748,408.279744291641,688
1189,4,2015,7942.10304830155,452.126108516045,757
1189,10,2015,1019.14865358925,23.7470810968441,93
